Size,Automata Name,Accuracy
4,aut_2.pkl,0.7387499809265137
4,aut_20.pkl,0.8357499837875366
4,aut_21.pkl,0.7319999933242798
4,aut_22.pkl,0.6507499814033508
4,aut_23.pkl,0.7045000195503235
4,aut_24.pkl,0.6647499799728394
4,aut_25.pkl,0.6324999928474426
4,aut_26.pkl,0.7152500152587891
4,aut_27.pkl,0.9714999794960022
4,aut_28.pkl,0.996749997138977
4,aut_29.pkl,0.8504999876022339
4,aut_3.pkl,0.8797500133514404
4,aut_30.pkl,0.8314999938011169
4,aut_31.pkl,0.6345000267028809
4,aut_32.pkl,0.8237500190734863
4,aut_33.pkl,0.6677500009536743
4,aut_34.pkl,0.7260000109672546
4,aut_35.pkl,0.7057499885559082
4,aut_36.pkl,0.6990000009536743
4,aut_37.pkl,0.6632500290870667
4,aut_38.pkl,0.6209999918937683
4,aut_39.pkl,0.7147499918937683
4,aut_4.pkl,0.7825000286102295
4,aut_40.pkl,0.8442500233650208
4,aut_41.pkl,0.7922499775886536
4,aut_42.pkl,0.9620000123977661
4,aut_43.pkl,0.9865000247955322
4,aut_44.pkl,0.7870000004768372
4,aut_45.pkl,0.9307500123977661
4,aut_46.pkl,0.5952500104904175
4,aut_47.pkl,0.984250009059906
4,aut_48.pkl,0.8339999914169312
4,aut_49.pkl,0.9810000061988831
4,aut_5.pkl,0.6930000185966492
4,aut_50.pkl,0.6952499747276306
4,aut_51.pkl,0.8032500147819519
4,aut_52.pkl,0.7135000228881836
4,aut_53.pkl,0.690500020980835
4,aut_54.pkl,0.6292499899864197
4,aut_55.pkl,0.7332500219345093
4,aut_56.pkl,0.6597499847412109
4,aut_57.pkl,0.6384999752044678
4,aut_58.pkl,0.7434999942779541
4,aut_59.pkl,0.9292500019073486
4,aut_6.pkl,0.7289999723434448
4,aut_60.pkl,0.6767500042915344
4,aut_61.pkl,0.7777500152587891
4,aut_62.pkl,0.6679999828338623
4,aut_63.pkl,0.9107499718666077
